timestamp,index,memory_used_mib,utilization_gpu_percent,power_draw_w
2026/07/30 09:50:12.422, 7, 15862, 8, 121.50
2026/07/30 09:50:14.599, 6, 15762, 19, 121.70
2026/07/30 09:50:14.602, 7, 15762, 19, 122.63
2026/07/30 09:50:16.806, 6, 77616, 8, 156.48
2026/07/30 09:50:16.808, 7, 77616, 0, 157.60
2026/07/30 09:50:18.989, 6, 78916, 9, 244.24
2026/07/30 09:50:18.993, 7, 78916, 2, 234.67
2026/07/30 09:50:21.187, 6, 95518, 89, 681.19
2026/07/30 09:50:21.190, 7, 95158, 100, 698.64
2026/07/30 09:50:23.370, 6, 97358, 89, 693.09
2026/07/30 09:50:23.372, 7, 97318, 99, 692.37
2026/07/30 09:50:25.556, 6, 97358, 100, 688.69
2026/07/30 09:50:25.560, 7, 97338, 100, 690.96
2026/07/30 09:50:27.749, 6, 97358, 96, 689.08
2026/07/30 09:50:27.752, 7, 97338, 97, 689.91
2026/07/30 09:50:30.003, 6, 97358, 96, 689.36
2026/07/30 09:50:30.006, 7, 97338, 99, 690.71
2026/07/30 09:50:32.170, 6, 97358, 100, 685.67
2026/07/30 09:50:32.173, 7, 97478, 100, 683.36
2026/07/30 09:50:34.417, 6, 97358, 99, 696.16
2026/07/30 09:50:34.420, 7, 97478, 87, 692.95
2026/07/30 09:50:36.637, 6, 97358, 100, 694.89
2026/07/30 09:50:36.640, 7, 97478, 100, 690.69
2026/07/30 09:50:38.896, 6, 97358, 100, 689.61
2026/07/30 09:50:38.901, 7, 97478, 100, 673.26
2026/07/30 09:50:41.168, 6, 97358, 98, 693.31
2026/07/30 09:50:41.171, 7, 97478, 97, 701.88
2026/07/30 09:50:43.366, 6, 97358, 95, 689.62
2026/07/30 09:50:43.368, 7, 97478, 100, 696.03
2026/07/30 09:50:45.770, 6, 97358, 100, 652.37
2026/07/30 09:50:45.773, 7, 97518, 75, 652.23
2026/07/30 09:50:47.989, 6, 97378, 94, 697.84
2026/07/30 09:50:47.992, 7, 97518, 95, 696.35
2026/07/30 09:50:50.428, 6, 114194, 15, 267.17
2026/07/30 09:50:50.431, 7, 114194, 26, 291.20
2026/07/30 09:50:52.616, 6, 138380, 100, 687.72
2026/07/30 09:50:52.622, 7, 138840, 100, 691.68
2026/07/30 09:50:54.817, 6, 138640, 92, 691.43
2026/07/30 09:50:54.820, 7, 138880, 91, 691.40
2026/07/30 09:50:57.012, 6, 138880, 100, 695.36
2026/07/30 09:50:57.016, 7, 139040, 97, 691.73
2026/07/30 09:50:59.217, 6, 139020, 100, 683.04
2026/07/30 09:50:59.220, 7, 139080, 100, 691.18
2026/07/30 09:51:01.432, 6, 139020, 98, 684.30
2026/07/30 09:51:01.436, 7, 139080, 79, 678.82
2026/07/30 09:51:03.684, 6, 139020, 100, 694.11
2026/07/30 09:51:03.690, 7, 139080, 99, 693.35
2026/07/30 09:51:05.895, 6, 139020, 100, 696.11
2026/07/30 09:51:05.898, 7, 139080, 100, 679.84
2026/07/30 09:51:08.278, 6, 139020, 100, 691.68
2026/07/30 09:51:08.285, 7, 139080, 94, 692.02
2026/07/30 09:51:10.545, 6, 139020, 100, 692.09
2026/07/30 09:51:10.550, 7, 139080, 100, 694.03
2026/07/30 09:51:12.761, 6, 139020, 100, 691.89
2026/07/30 09:51:12.764, 7, 139080, 97, 693.36
2026/07/30 09:51:14.974, 6, 139020, 100, 693.94
2026/07/30 09:51:14.978, 7, 139080, 95, 689.45
2026/07/30 09:51:17.183, 6, 139020, 100, 692.91
2026/07/30 09:51:17.186, 7, 139080, 100, 689.46
2026/07/30 09:51:19.378, 6, 139020, 97, 693.10
2026/07/30 09:51:19.382, 7, 139080, 95, 689.46
2026/07/30 09:51:21.608, 6, 139020, 67, 590.85
2026/07/30 09:51:21.612, 7, 139080, 99, 592.75
2026/07/30 09:51:23.820, 6, 139020, 100, 694.22
2026/07/30 09:51:23.824, 7, 139080, 100, 693.72
2026/07/30 09:51:26.025, 6, 139020, 100, 692.81
2026/07/30 09:51:26.028, 7, 139080, 100, 689.20
2026/07/30 09:51:28.221, 6, 139020, 100, 687.18
2026/07/30 09:51:28.224, 7, 139080, 97, 692.70
2026/07/30 09:51:30.418, 6, 139020, 86, 692.15
2026/07/30 09:51:30.421, 7, 139080, 100, 694.27
2026/07/30 09:51:32.652, 6, 139020, 100, 691.14
2026/07/30 09:51:32.656, 7, 139080, 100, 688.71
2026/07/30 09:51:34.866, 6, 139020, 86, 694.98
2026/07/30 09:51:34.869, 7, 139080, 97, 693.05
2026/07/30 09:51:37.069, 6, 139020, 100, 690.57
2026/07/30 09:51:37.073, 7, 139080, 99, 694.38
2026/07/30 09:51:39.348, 6, 139020, 100, 689.65
2026/07/30 09:51:39.352, 7, 139080, 99, 691.72
2026/07/30 09:51:41.620, 6, 139020, 89, 652.09
2026/07/30 09:51:41.624, 7, 139080, 91, 635.25
2026/07/30 09:51:43.818, 6, 139020, 97, 694.18
2026/07/30 09:51:43.821, 7, 139080, 100, 690.47
2026/07/30 09:51:46.007, 6, 139020, 100, 696.01
2026/07/30 09:51:46.010, 7, 139080, 100, 688.75
2026/07/30 09:51:48.221, 6, 139020, 95, 690.89
2026/07/30 09:51:48.224, 7, 139080, 100, 696.47
2026/07/30 09:51:50.414, 6, 139020, 98, 693.45
2026/07/30 09:51:50.417, 7, 139080, 100, 690.77
2026/07/30 09:51:52.590, 6, 139020, 100, 591.28
2026/07/30 09:51:52.593, 7, 139080, 85, 582.67
2026/07/30 09:51:54.782, 6, 139020, 99, 690.51
2026/07/30 09:51:54.785, 7, 139080, 100, 693.95
2026/07/30 09:51:56.983, 6, 139020, 100, 685.85
2026/07/30 09:51:56.986, 7, 139080, 100, 683.89
2026/07/30 09:51:59.180, 6, 139020, 97, 696.98
2026/07/30 09:51:59.183, 7, 139080, 97, 696.61
2026/07/30 09:52:01.373, 6, 139020, 100, 693.42
2026/07/30 09:52:01.376, 7, 139080, 100, 693.99
2026/07/30 09:52:03.573, 6, 139020, 100, 694.05
2026/07/30 09:52:03.577, 7, 139080, 100, 678.08
2026/07/30 09:52:05.785, 6, 139020, 94, 692.76
2026/07/30 09:52:05.789, 7, 139080, 100, 692.83
2026/07/30 09:52:08.016, 6, 139020, 100, 694.10
2026/07/30 09:52:08.019, 7, 139080, 100, 697.12
2026/07/30 09:52:10.311, 6, 139020, 78, 643.19
2026/07/30 09:52:10.315, 7, 139080, 93, 660.96
2026/07/30 09:52:12.617, 6, 139020, 79, 641.31
2026/07/30 09:52:12.621, 7, 139080, 62, 651.65
2026/07/30 09:52:14.809, 6, 139020, 100, 695.04
2026/07/30 09:52:14.813, 7, 139080, 95, 690.51
2026/07/30 09:52:17.008, 6, 139020, 100, 690.56
2026/07/30 09:52:17.012, 7, 139080, 100, 690.39
2026/07/30 09:52:19.225, 6, 139020, 100, 688.04
2026/07/30 09:52:19.229, 7, 139080, 94, 689.75
2026/07/30 09:52:21.634, 6, 139020, 100, 695.23
2026/07/30 09:52:21.638, 7, 139080, 100, 694.44
2026/07/30 09:52:23.826, 6, 139020, 100, 630.17
